user,year,coord_given,coord_received,e_central,e_central_chg
Patrickneil,2008,,,2.2658493866871345e-07,0.0012452938954555669
Patrickneil,2007,,,1.7388894348911224e-05,-1.716230941024251e-05
Pablo X,2010,-0.5,-0.15,6.013890417013571e-05,0.00036061250218636916
Veinor,2006,,,1.6529624920502955e-09,3.368873575641259e-07
Aronoel,2010,,,1.1735106838383472e-06,1.553360663057379e-05
Kingdon,2008,,,1.6654572904880371e-06,-1.4977873386357273e-06
Kingdon,2009,,,1.6766995185230978e-07,1.4550402488526983e-06
Kingdon,2010,,,1.622710200705008e-06,5.240831197677357e-05
Kingdon,2007,,,5.634143324473595e-09,1.6598231471635635e-06
Cast,2008,,,4.111787600070833e-11,1.9361328220888073e-08
Cast,2009,,,1.940244609688878e-08,-1.9128582176111955e-08
Cast,2010,,,2.738639207768259e-10,-2.668261521591906e-10
AbsolutDan,2006,-0.15912698412698412,-0.3027777777777778,1.4123061785542323e-05,-1.4102263256808325e-05
Northmeister,2006,,,3.014122025751514e-07,9.913187363503477e-08
Desmond Hobson,2008,,,1.1306818287243555e-07,9.997988277174814e-07
Desmond Hobson,2006,-0.5,,3.204330196840872e-07,8.662644500166477e-06
Desmond Hobson,2007,,,8.983077519850563e-06,-8.870009336978127e-06
David Edgar,2006,,,5.504798827131048e-08,-4.072302929546174e-08
David Edgar,2007,,,1.4324958975848736e-08,3.5549560043549463e-07
Jimbo online,2008,-0.06666666666666667,-0.06666666666666667,1.7186339872241013e-08,0.00012578205155108906
Jimbo online,2009,,,0.0001257992378909613,-0.00011874360981389275
Jimbo online,2010,0.33333333333333337,-0.5,7.055628077068548e-06,0.0006530732689596846
Jimbo online,2007,,,1.6411889186502656e-07,-1.4693255199278555e-07
Tohru Honda13,2006,,,3.154560624611673e-08,8.722264701228566e-06
RuthAS,2009,,,1.1744829711782459e-07,6.126394280975105e-07
RuthAS,2010,,,7.300877252153351e-07,8.446467130229756e-06
Bjmullan,2010,,,8.02462777511507e-07,0.0005127589962364364
Bcp67,2008,,,5.626290681246895e-09,3.719635014660949e-07
Bcp67,2009,-0.050000000000000044,-0.050000000000000044,3.775897921473418e-07,1.9356179866256816e-06
Bcp67,2010,,,2.3132077787730236e-06,3.0182008965696864e-08
Momoricks,2009,0.04047619047619048,0.04047619047619048,4.937757638851253e-06,2.6696315360350865e-06
Acebrock,2006,,,2.9545660359650867e-06,0.0004493048162668506
GabrielVelasquez,2008,,,3.879649284575863e-08,3.781955744341274e-06
GabrielVelasquez,2009,,,3.820752237187033e-06,-1.1265425003744548e-06
Puchiko,2010,,,2.1152868846350762e-10,3.7260664303152445e-07
Aleta,2008,,,1.8658234368571782e-07,8.58984503390477e-06
Aleta,2007,,,5.3180306287734015e-06,-5.131448285087683e-06
Dineshkannambadi,2008,,,7.156970555855124e-06,-2.549750577071701e-06
Dineshkannambadi,2006,,,1.6848936579744228e-06,0.6971339680191398
Dineshkannambadi,2007,0.15182593118805932,0.0054777935641780046,0.6971356529127978,-0.6971284959422419
JohnFromPinckney,2010,-0.021428571428571443,0.054012345679012336,4.8584343204958215e-05,-2.465830118038034e-06
Ebyabe,2008,0.03497023809523809,-0.06607142857142857,5.8246973246314666e-05,-5.4953031010919405e-05
Ebyabe,2009,,,3.2939422353952628e-06,4.324200353565871e-06
Ebyabe,2010,,,7.618142588961134e-06,0.0003575020382578585
Ebyabe,2007,0.1709471249649821,0.058971063658563645,0.005066752711167271,-0.005008505737920956
Tcncv,2008,,,6.849944502972418e-11,7.580239900232902e-07
Tcncv,2009,0.023809523809523774,0.17857142857142858,7.580924894683199e-07,7.812973048221691e-09
Tcncv,2010,0.5,0.5,7.659054625165416e-07,4.51761256803164e-06
GrahamBould,2008,,,3.462898636261088e-06,5.762743839039144e-08
Oskar Sigvardsson,2006,,,7.533293977639612e-09,4.705678943074561e-06
Innotata,2009,,,1.9451759491428062e-08,2.1645027448647863e-06
Innotata,2010,0.11111111111111115,0.16666666666666666,2.1839545043562145e-06,0.00017689510105256835
Spyder Monkey,2010,,,9.310801698801962e-07,2.8417688547637955e-05
Spyder Monkey,2006,,,4.6039908505669735e-07,9.964628965081831e-07
Spyder Monkey,2007,,,1.4568619815648806e-06,-1.446659659142918e-06
Harry the Dirty Dog,2010,,,2.5918941863193644e-08,3.476331937212562e-06
A2Kafir,2006,,,3.181756247107147e-11,1.196798089828542e-07
Agathoclea,2006,0.5,-0.3333333333333333,0.00016386322602036154,-0.00016182185467952296
Agathoclea,2007,,,2.0413713408385764e-06,-1.9341518267611476e-06
Agathoclea,2008,,,1.0721951407742863e-07,4.4365310969195245e-06
Agathoclea,2009,0.16666666666666669,0.5,4.543750610996953e-06,-1.4398848974610427e-06
Agathoclea,2010,,,3.1038657135359106e-06,0.0002919013635316126
Bastique,2009,,,2.0480506046799043e-06,2.619888245488672e-06
Bastique,2010,,,4.667938850168576e-06,0.00011336628602382192
Bastique,2006,-0.12333333333333336,-0.12333333333333336,6.11879854661526e-05,-6.109845482264055e-05
FisherQueen,2008,0.12499999999999999,0.07777777777777778,6.924793334191769e-05,-6.906764281314665e-05
FisherQueen,2009,,,1.8029052877104056e-07,3.7825882457851407e-06
FisherQueen,2010,,0.5,3.962878774556181e-06,8.103750805087831e-05
FisherQueen,2007,,,1.4276570840975086e-05,5.4971362500942606e-05
Dgies,2006,,,6.95509946435199e-12,2.8197928230532617e-05
Scottalter,2008,,,6.181393352157552e-07,5.83136918445662e-05
Scottalter,2009,0.23809523809523814,-0.5,5.893183117978195e-05,-5.8909663975724216e-05
Scottalter,2010,,,2.2167204057733774e-08,5.370041658934003e-05
Scottalter,2007,-0.16666666666666663,,3.006723969994353e-06,-2.388584634778598e-06
Vegaswikian,2006,,,9.29820828240346e-07,1.140814677898617e-06
Vegaswikian,2007,-0.125,-0.125,2.070635506138963e-06,0.00017657567069117707
Vegaswikian,2008,-0.12804232804232804,0.2148611111111111,0.00017864630619731603,0.00026241385177909883
Vegaswikian,2009,0.1708333333333333,-0.05277777777777777,0.0004410601579764149,0.010030585754541951
Vegaswikian,2010,0.0009451659451659516,0.18134920634920634,0.010471645912518366,-0.009281398958997367
Tivedshambo,2006,,,1.5011725779431287e-06,-1.4322626833639814e-06
Tivedshambo,2007,,,6.890989457914741e-08,5.7672632820264616e-06
Tivedshambo,2008,-0.08333333333333334,,5.836173176605609e-06,0.00013591311912853574
Tivedshambo,2009,,0.5,0.00014174929230514134,-0.0001408805914793878
Tivedshambo,2010,,-0.16666666666666663,8.687008257535267e-07,0.0004965822714175534
Eleassar,2008,-0.11261574074074072,-0.08328373015873017,7.0349531705937385e-06,-1.5108177908293617e-06
Eleassar,2009,0.16666666666666666,,5.524135379764377e-06,-1.3918470265429575e-06
Eleassar,2010,-0.16666666666666666,0.16666666666666669,4.132288353221419e-06,0.00045836277828805296
Xihix,2007,0.07400793650793647,0.07400793650793647,1.6218991074900347e-06,1.8881863619723061e-06
Kmarinas86,2010,-0.5,,2.1599823226212734e-05,2.6754589289130376e-05
Kmarinas86,2006,,,3.236305287152161e-07,2.687125881961247e-06
Kmarinas86,2007,,,3.010756410676463e-06,-3.0107360564257973e-06
Mugginsx,2010,,0.16666666666666669,6.275982913694241e-06,0.0005012339120141913
Winhunter,2006,,,4.210188932559161e-05,-5.500613087124584e-06
Burningclean,2008,-0.04426719114219116,-0.04426719114219116,1.0816899186085953e-06,0.005607660355790751
TGCP,2010,,-0.5,5.325284714998655e-09,2.9956113877692553e-07
JASpencer,2010,,,4.0724972528849196e-07,2.2139017794658585e-07
WFCforLife,2009,-0.5,-0.5,1.2025312703842966e-06,2.3165999462995313e-05
WFCforLife,2010,-0.20833333333333331,-0.32870370370370366,2.436853073337961e-05,0.0013348553424430798
Moeron,2006,,,5.1957161511380586e-08,4.0127690188954155e-07
Coaster7,2008,,,3.2631053054196877e-06,-2.1993790797193517e-06
Pterre,2008,,,0.0054171025228892285,-0.005417100097313528
DocYako,2009,,,2.6624413864183116e-05,-2.6624282007546243e-05
DocYako,2010,,,1.318566368736716e-10,1.7429510055405795e-06
Nathanm mn,2006,,,4.374906164804779e-09,1.193446529138741e-06
Reyk,2008,,,4.349725492139084e-07,-3.845485838103605e-07
Reyk,2009,,,5.042396540354791e-08,6.2642342849544346e-06
Reyk,2010,0.0,-0.12500000000000003,6.314658250357982e-06,0.00010631323557329325
Jon513,2008,,,4.12895763116763e-07,5.800357567183893e-05
Jon513,2006,,,1.511389432270928e-06,2.3540786246659958e-07
Jon513,2007,,,1.7467972947375276e-06,-1.3339015316207646e-06
AresAndEnyo,2008,,,4.278727421611908e-06,-4.045263995138161e-06
AresAndEnyo,2006,,,0.010421597104195832,-0.010417881530842102
AresAndEnyo,2007,,,3.7155733537301245e-06,5.631540678817836e-07
Princess Tiswas,2006,,,7.780970421846478e-08,-6.899435309632263e-09
Mbz1,2008,-0.08333333333333337,-0.2916666666666667,7.793388716085344e-07,0.0001768756718833666
Mbz1,2009,0.023333333333333317,0.023333333333333317,0.00017765501075497512,0.0011544342450223836
Mbz1,2010,-0.03888888888888889,0.05457142857142859,0.0013320892557773588,0.0004816844436063307
Mbz1,2007,-0.16523809523809524,-0.16523809523809524,1.0169194161471015e-07,6.776469299938242e-07
Lampman,2008,-0.5,-0.5,9.878356506320773e-08,2.859874713388525e-05
Lampman,2009,,,2.8697530698948457e-05,2.5672780270293053e-05
Lampman,2010,,,5.437031096924151e-05,3.2331571301954596e-05
Lampman,2007,-0.08333333333333333,0.16666666666666669,0.00012174418849376822,-0.000121645404928705
Paul Pieniezny,2008,,,2.8449741016307805e-07,3.6213832492252925e-07
Paul Pieniezny,2007,,,2.495245368085397e-09,2.8200216479499264e-07
BigHairRef,2007,,,1.055681070099242e-08,7.006551061807178e-06
StarScream1007,2008,,,1.9135597461609734e-09,2.551196397279062e-06
Bogic,2009,,,3.826852036964439e-10,1.6301309841185451e-07
Bogic,2010,,,1.6339578361555096e-07,3.1270115343653686e-05
Gateman1997,2008,,,3.195330578804237e-07,5.29574466673858e-06
Gateman1997,2009,,,5.6152777246190036e-06,2.7836405415779746e-05
Gateman1997,2006,,,6.064866767701131e-05,-6.056848172622154e-05
Gateman1997,2007,,,8.018595078976296e-08,2.3934710709066077e-07
Firsfron,2006,-0.04047619047619039,-0.04047619047619039,4.385457817649133e-05,-8.373079706092891e-06
Firsfron,2007,0.19428603803603803,0.005229145854145849,3.5481498470398436e-05,-3.488811412777768e-05
Firsfron,2008,0.3958333333333333,0.04166666666666666,5.933843426207565e-07,6.287176122362594e-05
Firsfron,2009,-0.31333333333333335,-0.12666666666666665,6.34651455662467e-05,-5.50331579088187e-05
Firsfron,2010,-0.16666666666666663,-0.055555555555555546,8.431987657427996e-06,0.0005179908494599873
Awickert,2009,-0.14285714285714285,0.1111111111111111,0.00040255356145089467,-0.00027710089837717
Awickert,2010,-0.10416666666666666,0.06666666666666671,0.0001254526630737247,0.00034730122516244636
Bduke,2010,,0.5,2.7718171128859877e-06,6.834645409534925e-05
JRSpriggs,2008,0.29166666666666663,-0.2428571428571428,2.7221433093785053e-05,-2.7201655982675795e-05
JRSpriggs,2006,-0.09375000000000004,-0.06562500000000004,1.98634902311134e-06,5.101611031213005e-07
JRSpriggs,2007,-0.25,0.13333333333333333,2.4965101262326404e-06,2.472492296755241e-05
Bellatrix Kerrigan,2008,-0.5,,5.146236423185603e-06,6.321867936415105e-06
Bellatrix Kerrigan,2009,,,1.1468104359600708e-05,-1.1144820869810365e-05
Bellatrix Kerrigan,2010,,,3.232834897903427e-07,6.087595493304369e-06
BScar23625,2007,,0.6,2.5225488771012117e-06,-2.262228546321084e-06
Infrogmation,2006,,,1.693039180339081e-09,8.801373506022634e-06
Infrogmation,2007,,,8.803066545202973e-06,-8.793585881430565e-06
Infrogmation,2008,,,9.48066377240736e-09,2.0613443674499894e-07
Infrogmation,2009,,,2.156151005174063e-07,5.195025728728163e-06
Infrogmation,2010,,-0.3333333333333333,5.410640829245569e-06,0.00016418530140280987
Spy007au,2010,,,5.9577644132962235e-05,-3.719628183692565e-05
DoubleBlue,2008,-0.3333333333333333,-0.3333333333333333,2.18964824355221e-06,0.00021013048357986059
DoubleBlue,2007,,,2.248722228581887e-06,-5.907398502967703e-08
Croat Canuck,2006,,,6.208788567668796e-07,7.230643559484426e-06
Julzes,2010,,0.09166666666666667,1.8504400722143572e-05,7.437156418536089e-05
Oicumayberight,2008,,,1.3221606491367955e-08,1.709989110137163e-08
Oicumayberight,2007,,,6.270706266484642e-09,6.950900224883313e-09
Iknow23,2009,-0.08333333333333337,,8.608432301591993e-05,-4.189110094596905e-05
Iknow23,2010,0.07135946103294141,0.17570942293729847,4.4193222069950884e-05,3.2903458351640984e-05
Petter Bøckman,2009,,,0.0043743957895263875,-0.004374393339346994
Petter Bøckman,2010,,,2.4501793936506966e-09,1.2330346739144659e-05
Johnfos,2009,,,0.00012030430275737274,-0.00011909857371413697
Johnfos,2010,,,1.2057290432357758e-06,3.7954662909497196e-05
Elitropia,2010,,,4.09782735052909e-07,2.1009515260903895e-05
UkPaolo,2006,,,8.60790095138182e-07,8.135835512385445e-07
Oxymoron83,2008,-0.5,-0.5,6.738560999933194e-06,-1.3387540969723474e-06
Oxymoron83,2007,,,2.139784797011253e-05,-1.4659286970179336e-05
Pruneau,2008,,,1.4928195629328063e-07,9.423494327851567e-06
Jj98,2010,,,4.5927825462692713e-08,0.002198308021878188
E.Shubee,2008,,,3.442422723690863e-12,2.240154689075553e-06
Guyonthesubway,2008,,,4.9391782532453334e-08,1.0922298405278412e-06
