user_id,eigen_central,eigen_central_bin,avg_perplexity,n_utts,admin_status,n_content_words,n_tokens,n_types,n_function_words,divergence_articles,divergence_impersonal pronouns,divergence_quantifiers,divergence_auxiliary verbs,divergence_conjunctions,divergence_prepositions,divergence_personal pronouns,divergence_adverbs
Callcentermonkey,0.00017940884001642126,False,934.20338540197713,1,False,11,17,17,6,,-0.0,,,-0.0,-0.0,-0.0,-0.0
Lilaac,0.00020968144935632196,False,610.23895813757895,2,False,42,63,50,25,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,
IceCreamAntisocial,0.001504125205651309,False,44880.592665217257,6,False,118,148,97,33,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Waygugin,0.001278020488165799,False,160.81863544277445,1,False,23,40,32,22,-0.0,,-0.0,-0.0,-0.0,-0.0,,-0.0
Garyvdm,0.0004765607829926769,False,59.301598686484603,2,False,0,0,0,0,,,,,,,,
Nanobear,0.0031741022776129793,False,4016.5541013545535,27,False,1193,1746,564,631,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Bardcom,0,False,4285.2453951106463,9,False,357,555,249,220,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Skoppensboer,0,False,1463.8109081225273,14,False,754,1206,486,519,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Paullusmagnus,9.24029790314766e-08,False,2677.7486156055606,1,False,77,115,74,40,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Paul Yeratz,0.0013045404827260133,False,513389.27434869821,1,False,32,35,26,3,,,,,-0.0,,,-0.0
Phoenix741,0.0017018032940828809,False,1458.8928644752336,25,False,760,1399,409,732,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Bakasuprman,0.0036553821587551358,False,1488.8510711688516,40,False,1226,1824,672,690,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Shinryuu,0.0002961524895883615,False,562.64632551775753,2,False,71,133,89,67,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Islandeagle,4.575358969256635e-05,False,59.301598686484603,1,False,0,0,0,0,,,,,,,,
Dharma for one,1.832893516813812e-05,False,13.031002755165527,1,False,1,1,1,0,,,,,,,,
Jim Sweeney,0.009984042837036456,True,2395.2776048395222,81,False,1594,2418,777,960,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Stephan Matthiesen,0.0015261536367564262,False,303.29765260738156,2,False,134,224,82,112,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
108.67.145.90,0,False,23314.112011305213,1,False,8,8,6,0,,,,,,,,
208.50.89.58,0,False,23314.112011305213,1,False,8,8,6,0,,,,,,,,
Udeezy,0.00014930593429070567,False,331.8928050265805,1,False,44,78,57,38,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Marlith,0.004888750079855002,False,84218.987546569173,17,False,276,379,175,117,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
Squidonius,0.007891625737175893,False,231.54634478332324,3,False,185,318,168,153,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Nsaa,0.00381015134523456,False,42433.566026798318,20,False,760,1139,324,442,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Sting-fr,0,False,524.40487944713675,2,False,86,132,82,58,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Kinston eagle,0.002325678750798669,False,423.68009708003041,7,False,345,637,278,344,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MartEditor,0.0006193605846770782,False,59.301598686484603,1,False,0,0,0,0,,,,,,,,
JKBrooks85,0.007361165908723982,False,1675.6546966296708,39,False,1331,2055,624,831,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
NickelShoe,0.00306968559147581,False,13166.09225909049,21,False,620,955,346,386,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
InfernoXV,4.3682538830475104e-05,False,2535.6792093269723,3,False,81,125,91,49,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
WikiGull,0,False,3472.0552396475637,5,False,118,206,129,105,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Radeksz,0,False,21875.611812336268,31,False,1633,2723,830,1267,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Wdflake,0,False,4018.4690626971028,1,False,26,32,29,6,,-0.0,,-0.0,-0.0,-0.0,,-0.0
Ultimaterasengan,0.001734820080767845,False,336.57298974166883,2,False,41,74,45,38,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
FelisLeo,0.00037013495624535297,False,2688.7155586478625,5,False,197,299,152,122,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Br Alexis Bugnolo,0.000548605048748394,False,564.89065797170588,3,False,44,63,50,22,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Vonones,0.0002583821499102702,False,419.87053281895641,2,False,38,49,38,14,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
Blackmetalbaz,0.0035261858536585933,False,453.37666408233213,4,False,201,317,180,140,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
alfons åberg,0,False,18581.212769116508,2,False,40,60,47,23,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Jumbolino,0.00028159959573351753,False,465.5618942662212,1,False,35,61,47,31,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Ivor the driver,3.809152480990857e-05,False,374.70131346494475,2,False,71,110,75,42,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
RobertMel,9.16865838565186e-05,False,457.25244676619133,1,False,74,107,67,38,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
A5b,0.0023627529762911183,False,5792.085227448013,5,False,179,234,137,65,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
PlaceboComp8705,0.0003053447890549765,False,862.10294937392598,3,False,138,213,117,90,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Carajou,0.00014747158204747544,False,778.7983521444736,2,False,101,143,104,49,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Renata3,0.0074095505808159405,False,13530.369490446603,55,True,1795,2690,893,1039,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
N Shar,0.0013079348097587312,False,1983.1534110120765,8,False,253,334,111,96,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Rastapopoulos,0.0008809068088644257,False,40089.988052081586,1,False,7,8,7,1,,,,,,,,-0.0
Draeco,0.004304885859267197,False,3223.6625900378258,11,False,488,690,306,239,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
The Oriffice,4.199572206013655e-05,False,12230.903705294109,1,False,20,27,25,8,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
FellGleaming,0.0036540021534714243,False,16025.391480023183,10,False,243,377,209,152,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Aaron charles,9.88230134788541e-05,False,772.90860598102824,8,False,236,351,172,141,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AperfectHell,0.0009874317619524345,False,344.91457925881542,2,False,71,118,82,62,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Elland1,0.0005421241385482866,False,59.301598686484603,3,False,0,0,0,0,,,,,,,,
SiameseTurtle,0.00028190167308668294,False,436.17171087874874,7,False,392,608,280,258,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Coldmachine,0.00614920641553736,False,56455.277457190248,10,False,498,693,283,233,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HyperCapitalist,9.136961244889147e-05,False,1074.0872365582379,1,False,35,59,44,28,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Fullobeans,0.0004173391177672815,False,10299.25065469262,5,False,121,171,111,60,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Javitomad,3.4155689514529024e-05,False,146000.72570762431,2,False,13,14,12,1,,-0.0,,,,,,
149.15.160.188,0,False,923.53982406497505,1,False,42,64,49,28,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Revolver,0.0013458705025055687,False,3373.9842986874619,4,False,128,189,117,75,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Bxzooo,0.0002172207910022477,False,59.301598686484603,2,False,0,0,0,0,,,,,,,,
Silverthorn,0.00010268034311084547,False,249.01500135094312,1,False,46,74,54,38,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Dfnj123,9.229768209438877e-05,False,564.08764564197372,1,False,14,23,21,9,,-0.0,,-0.0,,-0.0,,-0.0
69.116.169.171,0,False,1931.4561695974546,1,False,6,9,9,3,,-0.0,,,,-0.0,-0.0,
DCincarnate,0,False,20006.550716770478,4,False,70,112,84,46,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0
Triwbe,0.00715851643798232,False,713.86889456674555,45,False,1324,2054,570,833,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Doh286,0.0007892035551651009,False,3875.5271014590462,2,False,17,22,21,6,-0.0,,,-0.0,,-0.0,,-0.0
CanadaGirl,3.8753897044388945e-05,False,59.301598686484603,1,False,0,0,0,0,,,,,,,,
John Riemann Soong,0.0005402722294306788,False,2811.9605308282185,6,False,204,332,196,145,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MattieTK,0.0003454622125203949,False,745.4027799225729,2,False,49,62,45,15,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Dmartinaus,0.0027876773773951083,False,2047.4105878148525,25,False,1681,2572,772,1056,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Kitchen roll,8.821300016619875e-05,False,2367.8489021529449,7,False,860,1462,475,731,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Daniel5127,0.006429628470153307,False,178889.8999697977,9,False,310,450,191,168,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Wickey-nl,6.609522752907254e-05,False,29209.629443513317,5,False,128,189,111,66,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
JaGa,0.041852867970060235,True,1985.0279519938235,454,True,14839,22806,2915,9271,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
68.245.14.176,0,False,3732.7236985535442,1,False,75,110,71,39,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Falcon8765,0.004981808055225003,False,5452.9102259837546,28,False,756,1039,416,328,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Leandrod,0.01000592691146864,True,2579.7107592169677,20,False,176,259,158,101,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
NevilleDNZ,0.0004668686514917698,False,518.75294482530023,1,False,1,1,1,0,,,,,,,,
Pbsouthwood,0.00020437002687147024,False,366.64862947780892,2,False,63,103,72,45,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AySz88,0.001348682230143669,False,3467.0385293871068,10,False,383,535,208,159,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
