user_id,edit_count,gender,admin_ascention,admin,eigen_central,eigen_central_bin,community,coord_given_all,coord_received_all,coord_given_ingroup,coord_received_ingroup,post_count,italics_freq,bold_freq,link_freq,function_words_freq,avg_length_tokens
K-F.U.N 2,165,male,,False,3.7619163995426467e-07,False,0,nan,nan,,,1,,,,,1.0
JFreeman,9270,unknown,,False,0.0016712746315322448,False,1,nan,0.0,,,1,,,,28.0,4.0
Extcetc,27,unknown,,False,4.0173043183876356e-06,False,2,nan,0.0,,,1,,,,4.0,2.0
Merteselle,295,unknown,,False,4.261994282982056e-08,False,3,nan,0.0,,,1,,,,2.0,2.0
The Sunshine Man,0,unknown,,False,6.056635362369874e-07,False,9,0.0,0.0,,,3,,,,27.333333333333332,3.3333333333333335
Kuebie,1607,unknown,,False,5.176361322704813e-05,False,5,0.0833333333333,0.11875,,,9,,,0.1111111111111111,23.77777777777778,4.0
Marumari,1139,female,2003-07-27 00:00:00,True,2.4182436895250014e-07,False,6,0.047619047619,0.0,,,3,,,,18.333333333333332,3.6666666666666665
Lamerica,353,unknown,,False,,,,-0.0208333333333,-0.0208333333333,,,6,,,,19.5,3.3333333333333335
Schniggendiller,104,unknown,,False,0.00014948900525872221,False,17,nan,0.0,,,2,,,,21.0,3.5
Marshill,221,unknown,,False,1.3100334324202157e-08,False,8,nan,nan,,,1,,,,,1.0
GraphicArtist,45,unknown,,False,9.055329078309042e-06,False,9,-0.0625,-0.0208333333333,,,5,,,,19.2,3.2
Orphan Wiki,13654,male,,False,3.00875338760867e-06,False,10,-0.0166666666667,0.0833333333333,,,7,0.2857142857142857,,,16.571428571428573,2.857142857142857
Rxguy,949,unknown,,False,2.3961048109152286e-08,False,11,nan,0.0,,,1,,,,26.0,3.0
Mika1h,48076,unknown,,False,2.6522815944765236e-05,False,12,0.047619047619,0.0,,,5,,,,11.4,3.2
Scarian,28497,unknown,2008-02-20 00:00:00,True,0.002244370311183621,False,13,0.0286907233439,0.0143625137086,,,74,0.16216216216216217,,0.013513513513513514,19.783783783783782,3.2432432432432434
Hughcharlesparker,5553,male,,False,,,,nan,nan,,,2,,,,11.0,4.0
Curly Turkey,9994,unknown,,False,1.275901721434002e-05,False,15,-0.100595238095,-0.0506944444444,,,15,0.2,,,24.8,3.933333333333333
Endo999,877,unknown,,False,5.557950169583046e-06,False,16,nan,nan,,,7,,,,,0.0
GeneralChoomin,138,male,,False,1.0131489703731044e-05,False,2,0.0,0.0,,,3,,,,45.666666666666664,6.666666666666667
